G2,1.231
G#2,1.279
A2,1.329
A#2,1.381
B2,1.435
C3,1.492
C#3,1.550
D3,1.611
D#3,1.674
E3,1.739
F3,1.808
F#3,1.879
G3,1.952
G#3,2.029
A3,2.108
A#3,2.191
B3,2.277
C4,2.366
C#4,2.459
D4,2.555
D#4,2.655
E4,2.759
F4,2.867
F#4,2.980
G4,3.097
G#4,3.218
A4,3.344
A#4,3.475
B4,3.611
C5,3.753
C#5,3.900
D5,4.053
D#5,4.212
E5,4.377
F5,4.548
F#5,4.727
G5,4.912
G#5,5.104
A5,5.304
A#5,5.512
B5,5.728
C6,5.953
C#6,6.186
D6,6.429
D#6,6.681
E6,6.943
F6,7.215
F#6,7.497
G6,7.791
G#6,8.097
A6,8.414
A#6,8.744
